Index	HOMO (A)	HOMO (AH)	LUMO (A)	LUMO (AH)	charge (AH)	Charge metal (A)	epsilon	Charge metal (AH)	M-H (AH) max	Charge hydride (AH)	metal centre 	coordination number (AH)	cc_AH	coordination number (A)	cc_A	solvated PA	gas PA	Experimental pKa
133	-9.6841	-11.2344	-8.6162	-9.3239	2	-0.143	8.93	-0.182	1.6217764	0.15	76	7	52	6	51	-0.116564283	0.000878412	-5
134	-9.9809	-11.6169	-8.6476	-9.5724	2	-0.278	8.93	-0.315	1.5580933	0.106	44	6	37	6	51	-0.124966256	-0.009888192	-5
135	-8.7944	-10.6353	-6.7798	-7.6814	1	-0.284	8.93	-0.252	1.5487577	0.07	44	6	29	5	36	-0.162799012	-0.118975723	-0.6
138	-9.4304	-11.2302	-7.0434	-8.0946	1	-0.139	10.36	0.107	1.4357595	-0.112	26	6	49	5	48	-0.172835737	-0.14053802	-0.6
140	-9.4545	-11.4269	-6.8579	-7.8061	1	-0.158	10.36	0.133	1.4334741	-0.115	26	6	49	5	48	-0.180632017	-0.145427393	2
141	-9.4735	-11.4541	-7.1517	-7.9837	1	-0.19	10.36	0.106	1.4434317	-0.109	26	6	49	5	48	-0.181117897	-0.145515866	3.6
142	-9.4689	-11.4386	-6.9157	-7.8204	1	-0.168	10.36	0.126	1.4326775	-0.113	26	6	49	5	48	-0.182119051	-0.146313176	3.2
143	-9.3526	-11.1822	-6.8776	-7.986	1	-0.165	10.36	0.1	1.433364	-0.111	26	6	49	5	48	-0.174373686	-0.139071	0.1
144	-9.2815	-11.1747	-6.7146	-7.9101	1	-0.185	10.36	0.083	1.441438	-0.101	26	6	49	5	48	-0.179374587	-0.139861218	2.1
145	-9.2998	-11.0028	-7.7016	-9.4582	2	-0.313	8.93	-0.326	1.559407	0.075	44	3	17	3	31	-0.134163021	-0.019422675	4.5
146	-8.9543	-11.0247	-6.128	-8.2448	1	-0.325	8.93	-0.285	1.5330895	0.033	44	3	8	3	22	-0.160067905	-0.117527937	11
147	-9.2708	-10.7566	-5.8694	-7.2772	2	0.197	8.93	0.307	1.4837758	0.015	26	7	68	6	67	-0.14214517	-0.002089406	2.7
148	-7.8549	-9.4928	-6.5704	-7.3304	1	-0.3	20.6	-0.304	1.5727915	0.017	76	5	10	5	24	-0.174103063	-0.132211388	3.5
149	-8.9956	-10.4274	-7.1691	-8.2526	2	-0.174	8.93	-0.177	1.556848	0.055	76	7	69	6	68	-0.138651584	-0.022660418	-2
150	-8.6254	-10.2338	-7.3005	-8.9943	1	-0.047	10.36	0.038	1.5420666	-0.031	76	4	48	4	38	-0.155920463	-0.122280748	1.2
151	-8.5371	-10.2716	-6.1556	-7.3678	1	-0.296	8.93	-0.299	1.5666172	0.103	76	6	29	3	14	-0.162106496	-0.114024718	9.3
152	-9.32	-10.7325	-6.8725	-7.65	0	0.1	36.6	0.428	1.4301165	-0.164	26	6	47	3	34	-0.161677763	-0.218669658	2.6
153	-9.3423	-11.3627	-6.4334	-7.7626	1	-0.215	10.36	0.084	1.446865	-0.104	26	6	49	5	48	-0.183786018	-0.135574344	7.1
154	-9.2168	-11.2863	-6.6823	-7.7881	1	-0.159	10.36	0.133	1.4317476	-0.126	26	6	49	5	48	-0.183902677	-0.145614193	6.1
156	-9.2842	-11.1378	-6.438	-7.8388	1	-0.224	10.36	0.078	1.4405514	-0.102	26	6	49	5	48	-0.189636294	-0.143804687	3.2
157	-8.547	-9.9435	-7.1954	-8.0107	1	-0.244	8.93	-0.25	1.5320703	0.013	44	6	64	4	46	-0.167736628	-0.138469187	5.1
158	-8.3054	-9.6924	-7.1864	-7.9687	1	-0.09	8.93	-0.073	1.5675919	0	76	6	64	4	46	-0.160361803	-0.132264744	7.5
159	-7.6573	-7.9589	-6.8917	-5.6494	2	0.4	78.4	1.375	1.2794572	-0.765	26	6	37	1	7	-0.206264315	-0.039458454	1.8
160	-8.8586	-10.6339	-7.6349	-8.4634	1	-0.306	8.93	-0.27	1.5258607	-0.007	44	4	32	3	31	-0.174137234	-0.113219797	4.3
161	-8.8615	-10.503	-7.6409	-8.361	1	-0.309	8.93	-0.249	1.5252385	-0.044	44	4	32	3	31	-0.169533873	-0.106820402	4.4
162	-7.8891	-9.9263	-5.7062	-8.0857	1	-0.292	10.36	-0.18	1.5151067	-0.072	44	1	1	0	0	-0.192407186	-0.145458342	0.8
163	-7.3948	-9.6002	-5.5684	-8.2887	1	-0.081	36.6	0.032	1.5424645	-0.063	76	1	1	0	0	-0.19028638	-0.139496927	9.9
167	-8.0741	-9.5717	-6.5272	-7.0945	1	-0.289	8.93	-0.289	1.5511964	0.048	44	7	53	5	45	-0.183551111	-0.138621519	7.6
168	-8.0093	-9.6144	-6.4401	-7.0785	1	-0.289	8.93	-0.281	1.5445551	0.048	44	7	53	6	52	-0.185543203	-0.138756267	7.9
169	-7.9478	-9.6029	-6.4477	-7.0727	1	-0.249	8.93	-0.212	1.5406551	0.026	44	7	45	6	44	-0.191735946	-0.141753117	8.9
170	-8.1759	-9.802	-6.9254	-7.9565	1	-0.184	8.93	-0.08	1.5634557	-0.064	76	4	32	3	31	-0.174899466	-0.136931799	10
